,epoch,model,weight sharing,auxiliary,train accuracy,train loss,test accuracy,test loss
0,0,DeepFCNet,True,True,0.589,110.21798968315125,0.615,3.330271005630493
1,1,DeepFCNet,True,True,0.677,56.78943645954132,0.664,2.3148913383483887
2,2,DeepFCNet,True,True,0.716,41.29747188091278,0.731,1.9741902351379395
3,3,DeepFCNet,True,True,0.724,35.72348618507385,0.749,1.8157644271850586
4,4,DeepFCNet,True,True,0.765,30.570574045181274,0.772,1.558316946029663
5,5,DeepFCNet,True,True,0.786,26.60163140296936,0.769,1.5414220094680786
6,6,DeepFCNet,True,True,0.794,25.52814221382141,0.799,1.4397289752960205
7,7,DeepFCNet,True,True,0.821,23.16849023103714,0.816,1.400697946548462
8,8,DeepFCNet,True,True,0.83,21.225360810756683,0.817,1.3891657590866089
9,9,DeepFCNet,True,True,0.819,20.08640295267105,0.802,1.318199634552002
10,10,DeepFCNet,True,True,0.851,17.878474950790405,0.811,1.2809693813323975
11,11,DeepFCNet,True,True,0.845,17.1189284324646,0.822,1.2708778381347656
12,12,DeepFCNet,True,True,0.864,16.08734169602394,0.826,1.236647129058838
13,13,DeepFCNet,True,True,0.867,15.598160922527313,0.829,1.1952606439590454
14,14,DeepFCNet,True,True,0.877,13.511894345283508,0.814,1.2514046430587769
15,15,DeepFCNet,True,True,0.88,12.811666637659073,0.844,1.2521854639053345
16,16,DeepFCNet,True,True,0.882,13.149806559085846,0.836,1.1591200828552246
17,17,DeepFCNet,True,True,0.878,11.359705805778503,0.838,1.1618913412094116
18,18,DeepFCNet,True,True,0.906,11.125966846942902,0.851,1.2638850212097168
19,19,DeepFCNet,True,True,0.898,10.535247266292572,0.839,1.1988389492034912
20,20,DeepFCNet,True,True,0.901,9.720809012651443,0.847,1.2143021821975708
21,21,DeepFCNet,True,True,0.897,9.210863173007965,0.857,1.1895545721054077
22,22,DeepFCNet,True,True,0.888,9.165485441684723,0.841,1.194972038269043
23,23,DeepFCNet,True,True,0.905,8.206904232501984,0.842,1.1029071807861328
24,24,DeepFCNet,True,True,0.919,8.361695945262909,0.849,1.2126646041870117
25,25,DeepFCNet,True,True,0.916,7.486695408821106,0.858,1.284778118133545
26,26,DeepFCNet,True,True,0.925,7.045701950788498,0.851,1.1594163179397583
27,27,DeepFCNet,True,True,0.924,7.042952209711075,0.867,1.2011178731918335
28,28,DeepFCNet,True,True,0.94,7.129081130027771,0.876,1.190366506576538
29,29,DeepFCNet,True,True,0.935,6.5598993599414825,0.858,1.35654616355896
30,30,DeepFCNet,True,True,0.929,6.19108672440052,0.86,1.2814195156097412
31,31,DeepFCNet,True,True,0.934,6.468810945749283,0.842,1.213749647140503
32,32,DeepFCNet,True,True,0.954,6.2163326144218445,0.868,1.1977152824401855
33,33,DeepFCNet,True,True,0.944,6.11422635614872,0.859,1.1748487949371338
34,34,DeepFCNet,True,True,0.943,4.59340301156044,0.87,1.2556450366973877
35,35,DeepFCNet,True,True,0.945,5.674412027001381,0.859,1.2272666692733765
36,36,DeepFCNet,True,True,0.952,5.332526132464409,0.87,1.2120832204818726
37,37,DeepFCNet,True,True,0.949,5.158606186509132,0.869,1.2411794662475586
38,38,DeepFCNet,True,True,0.959,4.925277270376682,0.881,1.2513148784637451
39,39,DeepFCNet,True,True,0.95,4.28929927945137,0.877,1.2364321947097778
40,40,DeepFCNet,True,True,0.974,4.02334600687027,0.857,1.303361177444458
41,41,DeepFCNet,True,True,0.958,4.388409368693829,0.875,1.2534080743789673
42,42,DeepFCNet,True,True,0.966,3.9218379855155945,0.88,1.304039478302002
43,43,DeepFCNet,True,True,0.96,3.6204869747161865,0.885,1.4374052286148071
44,44,DeepFCNet,True,True,0.96,3.7498206421732903,0.872,1.2488088607788086
45,45,DeepFCNet,True,True,0.965,4.028661385178566,0.878,1.326176643371582
46,46,DeepFCNet,True,True,0.966,3.6724182814359665,0.879,1.3184210062026978
47,47,DeepFCNet,True,True,0.98,3.6099048480391502,0.879,1.4066356420516968
48,48,DeepFCNet,True,True,0.961,3.341595582664013,0.875,1.3393810987472534
49,49,DeepFCNet,True,True,0.966,3.0819608345627785,0.88,1.2699201107025146
50,50,DeepFCNet,True,True,0.973,2.5721734687685966,0.894,1.3152053356170654
51,51,DeepFCNet,True,True,0.979,3.111584383994341,0.887,1.2864928245544434
52,52,DeepFCNet,True,True,0.979,2.360973358154297,0.869,1.4120447635650635
53,53,DeepFCNet,True,True,0.975,3.4982388392090797,0.885,1.2613390684127808
54,54,DeepFCNet,True,True,0.976,2.8175020702183247,0.881,1.294231653213501
55,55,DeepFCNet,True,True,0.975,2.675064714625478,0.871,1.374794363975525
56,56,DeepFCNet,True,True,0.967,2.8945162296295166,0.89,1.3883278369903564
