,epoch,model,weight sharing,auxiliary,train accuracy,train loss,test accuracy,test loss
0,0,LeNet5,True,True,0.525,106.98674774169922,0.55,4.372762680053711
1,1,LeNet5,True,True,0.568,77.42571258544922,0.545,3.40266752243042
2,2,LeNet5,True,True,0.663,56.58720374107361,0.652,2.192070484161377
3,3,LeNet5,True,True,0.718,40.02671730518341,0.692,1.9662904739379883
4,4,LeNet5,True,True,0.756,35.13807010650635,0.727,1.7076274156570435
5,5,LeNet5,True,True,0.773,28.48314094543457,0.763,1.3894057273864746
6,6,LeNet5,True,True,0.82,25.601698517799377,0.757,1.3454586267471313
7,7,LeNet5,True,True,0.81,22.707782089710236,0.794,1.279123067855835
8,8,LeNet5,True,True,0.829,20.07240903377533,0.805,1.248343586921692
9,9,LeNet5,True,True,0.836,19.095507323741913,0.804,1.1130253076553345
10,10,LeNet5,True,True,0.874,17.098154425621033,0.811,1.1129786968231201
11,11,LeNet5,True,True,0.863,15.964977532625198,0.825,1.1141185760498047
12,12,LeNet5,True,True,0.875,13.79740685224533,0.821,1.086938738822937
13,13,LeNet5,True,True,0.879,13.235213220119476,0.831,1.0577138662338257
14,14,LeNet5,True,True,0.872,13.017678052186966,0.822,1.0973902940750122
15,15,LeNet5,True,True,0.884,11.354093998670578,0.842,1.0615297555923462
16,16,LeNet5,True,True,0.902,9.899210453033447,0.844,1.04884934425354
17,17,LeNet5,True,True,0.902,10.633565753698349,0.835,1.091487169265747
18,18,LeNet5,True,True,0.902,9.59137013554573,0.863,1.1420528888702393
19,19,LeNet5,True,True,0.908,9.183683633804321,0.843,1.0001158714294434
20,20,LeNet5,True,True,0.921,8.099908202886581,0.858,0.9079368710517883
21,21,LeNet5,True,True,0.916,9.498953863978386,0.851,0.8641265630722046
22,22,LeNet5,True,True,0.923,8.556741923093796,0.872,0.9477061033248901
23,23,LeNet5,True,True,0.898,7.193466365337372,0.852,1.0041269063949585
24,24,LeNet5,True,True,0.916,7.634891599416733,0.858,0.9355058670043945
25,25,LeNet5,True,True,0.937,6.850385010242462,0.87,1.0133519172668457
26,26,LeNet5,True,True,0.934,5.463504031300545,0.868,0.9807820320129395
27,27,LeNet5,True,True,0.941,6.236021012067795,0.871,0.9600868225097656
28,28,LeNet5,True,True,0.936,5.2681068778038025,0.864,1.0407509803771973
29,29,LeNet5,True,True,0.94,5.241142764687538,0.877,1.0473648309707642
30,30,LeNet5,True,True,0.941,5.271760284900665,0.872,0.9880690574645996
31,31,LeNet5,True,True,0.938,4.6107433289289474,0.879,0.9973063468933105
32,32,LeNet5,True,True,0.947,4.569893047213554,0.868,0.9217380881309509
33,33,LeNet5,True,True,0.945,4.268480934202671,0.878,0.9994975328445435
34,34,LeNet5,True,True,0.955,4.751164466142654,0.882,0.9233741760253906
35,35,LeNet5,True,True,0.949,4.273512490093708,0.877,1.0443681478500366
36,36,LeNet5,True,True,0.956,3.6906621232628822,0.879,1.0845997333526611
37,37,LeNet5,True,True,0.957,3.8518321365118027,0.872,1.0925726890563965
38,38,LeNet5,True,True,0.956,4.093262583017349,0.878,1.0619981288909912
39,39,LeNet5,True,True,0.955,4.489429920911789,0.882,0.9866620898246765
40,40,LeNet5,True,True,0.958,3.896634191274643,0.888,1.0250287055969238
41,41,LeNet5,True,True,0.966,3.18006831407547,0.887,1.1126219034194946
42,42,LeNet5,True,True,0.964,3.554159864783287,0.874,1.0589172840118408
43,43,LeNet5,True,True,0.963,3.4923596754670143,0.888,1.1366770267486572
44,44,LeNet5,True,True,0.971,3.3016234561800957,0.878,1.126412272453308
45,45,LeNet5,True,True,0.968,2.7927233576774597,0.883,1.106597661972046
46,46,LeNet5,True,True,0.962,3.0766830071806908,0.875,1.0346759557724
47,47,LeNet5,True,True,0.972,2.446630859747529,0.871,1.2595432996749878
48,48,LeNet5,True,True,0.962,5.2103738114237785,0.889,1.0894120931625366
49,49,LeNet5,True,True,0.974,3.2896066904067993,0.882,1.1730700731277466
50,50,LeNet5,True,True,0.972,2.3469909243285656,0.883,1.1400617361068726
51,51,LeNet5,True,True,0.966,2.2412422075867653,0.88,1.1311180591583252
52,52,LeNet5,True,True,0.968,2.6942811608314514,0.883,1.2204915285110474
53,53,LeNet5,True,True,0.973,1.7068035285919905,0.886,1.2730088233947754
54,54,LeNet5,True,True,0.978,2.318644490092993,0.888,1.2529762983322144
55,55,LeNet5,True,True,0.981,2.6787102967500687,0.875,1.263525128364563
56,56,LeNet5,True,True,0.977,3.043955620378256,0.883,1.2105954885482788
