,epoch,model,weight sharing,auxiliary,train accuracy,train loss,test accuracy,test loss
7500,0,ResNet,True,True,0.471,145.31020164489746,0.456,5.167118549346924
7501,1,ResNet,True,True,0.501,102.05539512634277,0.507,4.9408674240112305
7502,2,ResNet,True,True,0.489,98.51444578170776,0.499,4.780510425567627
7503,3,ResNet,True,True,0.512,95.78998184204102,0.523,4.652370452880859
7504,4,ResNet,True,True,0.526,93.29175662994385,0.509,4.534982204437256
7505,5,ResNet,True,True,0.517,90.81408023834229,0.522,4.413984298706055
7506,6,ResNet,True,True,0.543,88.30678129196167,0.536,4.290774345397949
7507,7,ResNet,True,True,0.536,85.72582149505615,0.537,4.149296283721924
7508,8,ResNet,True,True,0.568,82.83030080795288,0.547,4.015973091125488
7509,9,ResNet,True,True,0.584,80.3851227760315,0.576,3.8668882846832275
7510,10,ResNet,True,True,0.586,77.74971914291382,0.581,3.719818353652954
7511,11,ResNet,True,True,0.593,74.13126134872437,0.59,3.852505683898926
7512,12,ResNet,True,True,0.615,71.8617889881134,0.639,3.3907532691955566
7513,13,ResNet,True,True,0.635,71.54231786727905,0.641,3.6125922203063965
7514,14,ResNet,True,True,0.643,67.57180070877075,0.645,3.1333329677581787
7515,15,ResNet,True,True,0.666,63.38115477561951,0.683,2.953299045562744
7516,16,ResNet,True,True,0.693,59.62831163406372,0.69,2.803497314453125
7517,17,ResNet,True,True,0.704,55.69366669654846,0.701,2.6329197883605957
7518,18,ResNet,True,True,0.675,69.32363891601562,0.691,2.9074387550354004
7519,19,ResNet,True,True,0.699,54.7321252822876,0.7,2.4789464473724365
7520,20,ResNet,True,True,0.732,50.96053123474121,0.699,2.368124008178711
7521,21,ResNet,True,True,0.736,48.103501319885254,0.703,2.2832038402557373
7522,22,ResNet,True,True,0.724,46.94959580898285,0.735,2.2136480808258057
7523,23,ResNet,True,True,0.731,45.616851568222046,0.706,2.155747652053833
7524,24,ResNet,True,True,0.716,51.40855097770691,0.717,2.2254014015197754
7525,25,ResNet,True,True,0.754,42.78329861164093,0.739,2.0040671825408936
7526,26,ResNet,True,True,0.756,41.832353830337524,0.735,1.932830572128296
7527,27,ResNet,True,True,0.768,38.22042953968048,0.742,1.8653979301452637
