,epoch,train_loss,test_loss,train_accuracy,test_accuracy
0,0,514.2416381835938,369.97918701171875,0.588,0.671
1,1,402.76318359375,269.62628173828125,0.721,0.822
2,2,257.1513366699219,214.77285766601562,0.844,0.865
3,3,198.4132843017578,180.3396759033203,0.893,0.891
4,4,164.79420471191406,160.6551513671875,0.918,0.909
5,5,142.602294921875,146.6045684814453,0.932,0.913
6,6,127.74008178710938,136.8612823486328,0.943,0.923
7,7,116.60808563232422,129.94102478027344,0.951,0.923
8,8,107.50684356689453,124.23948669433594,0.957,0.923
9,9,99.38278198242188,118.72374725341797,0.959,0.928
10,10,91.51168823242188,113.33842468261719,0.963,0.93
11,11,83.8626937866211,109.31204986572266,0.962,0.929
12,12,77.09545135498047,108.04452514648438,0.964,0.922
13,13,71.83743286132812,108.99067687988281,0.965,0.923
14,14,68.29888153076172,110.27455139160156,0.965,0.919
15,15,66.44456481933594,111.03838348388672,0.961,0.918
16,16,65.34112548828125,111.59739685058594,0.961,0.917
17,17,64.03719329833984,111.46320343017578,0.957,0.916
18,18,62.544349670410156,110.8307113647461,0.957,0.918
19,19,61.04533386230469,110.023681640625,0.957,0.918
20,20,59.61977005004883,109.17638397216797,0.958,0.918
21,21,58.29513931274414,108.3488540649414,0.96,0.919
22,22,57.075469970703125,107.56651306152344,0.96,0.921
23,23,55.95353317260742,106.83877563476562,0.961,0.922
24,24,54.91278839111328,106.17263793945312,0.961,0.922
25,25,53.932247161865234,105.57903289794922,0.962,0.923
26,26,52.99574661254883,105.06788635253906,0.962,0.923
27,27,52.097503662109375,104.64253234863281,0.962,0.923
28,28,51.241268157958984,104.29840850830078,0.963,0.924
29,29,50.43644714355469,104.02493286132812,0.965,0.925
30,30,49.69319534301758,103.80889892578125,0.968,0.925
31,31,49.01795196533203,103.6373519897461,0.968,0.925
32,32,48.410240173339844,103.4981918334961,0.969,0.925
33,33,47.86267852783203,103.37994384765625,0.97,0.926
34,34,47.363704681396484,103.27101135253906,0.968,0.928
