,epoch,train_loss,test_loss,train_accuracy,test_accuracy
0,0,513.130859375,1160.426025390625,0.576,0.504
1,1,469.1490478515625,704.4356689453125,0.68,0.543
2,2,352.18072509765625,268.91278076171875,0.763,0.803
3,3,260.8424987792969,195.68446350097656,0.844,0.878
4,4,205.75067138671875,195.2440948486328,0.872,0.866
5,5,182.81289672851562,188.50869750976562,0.897,0.87
6,6,165.48095703125,177.55357360839844,0.916,0.874
7,7,151.57533264160156,166.69090270996094,0.924,0.882
8,8,140.1724395751953,157.4075164794922,0.925,0.885
9,9,130.5977783203125,148.41427612304688,0.932,0.884
10,10,122.67304992675781,138.17486572265625,0.933,0.889
11,11,116.50756072998047,126.15196990966797,0.934,0.9
12,12,111.57890319824219,111.38446044921875,0.934,0.914
13,13,106.81504821777344,96.14527130126953,0.937,0.931
14,14,101.88179779052734,83.88329315185547,0.94,0.938
15,15,97.33568572998047,75.94670867919922,0.944,0.949
16,16,93.57804107666016,71.7812271118164,0.945,0.954
17,17,90.52283477783203,70.17530059814453,0.944,0.958
18,18,87.90058135986328,70.13925170898438,0.943,0.957
19,19,85.50904083251953,71.12400817871094,0.941,0.957
20,20,83.28644561767578,72.85971069335938,0.945,0.953
21,21,81.22240447998047,75.1519546508789,0.944,0.954
22,22,79.27528381347656,77.7570571899414,0.946,0.953
23,23,77.37506866455078,80.37504577636719,0.947,0.95
24,24,75.46894836425781,82.73662567138672,0.947,0.95
25,25,73.5509262084961,84.66822052001953,0.948,0.948
26,26,71.65751647949219,85.99070739746094,0.95,0.946
27,27,69.840576171875,86.4046859741211,0.952,0.947
28,28,68.1537094116211,85.71250915527344,0.951,0.948
29,29,66.65257263183594,84.0900650024414,0.952,0.949
30,30,65.33106994628906,82.15180206298828,0.954,0.949
31,31,64.03607177734375,80.69904327392578,0.953,0.949
32,32,62.66679382324219,80.21871185302734,0.953,0.95
33,33,61.36195755004883,80.72422790527344,0.955,0.951
34,34,60.26831817626953,81.9630355834961,0.955,0.951
35,35,59.393104553222656,83.58600616455078,0.957,0.949
36,36,58.650028228759766,85.30068969726562,0.959,0.947
37,37,57.96498107910156,86.9412612915039,0.958,0.947
38,38,57.30498504638672,88.4312744140625,0.957,0.947
39,39,56.6556510925293,89.74008178710938,0.959,0.946
40,40,56.006832122802734,90.86293029785156,0.961,0.946
41,41,55.35139846801758,91.8089370727539,0.964,0.943
42,42,54.68717575073242,92.59859466552734,0.964,0.942
43,43,54.01600646972656,93.2708969116211,0.964,0.942
44,44,53.33852767944336,93.89025115966797,0.965,0.941
45,45,52.6456184387207,94.5380630493164,0.965,0.939
46,46,51.91594696044922,95.28797149658203,0.965,0.938
47,47,51.12900924682617,96.16513061523438,0.964,0.938
48,48,50.28388214111328,97.12666320800781,0.967,0.938
49,49,49.305301666259766,98.51744842529297,0.966,0.937
50,50,48.05002212524414,102.79390716552734,0.965,0.938
51,51,48.69341278076172,101.37763977050781,0.964,0.939
52,52,47.90110397338867,103.24661254882812,0.966,0.939
53,53,47.55831527709961,103.29667663574219,0.967,0.94
54,54,46.244686126708984,104.76425170898438,0.966,0.938
55,55,46.278377532958984,96.01618194580078,0.973,0.941
56,56,45.031089782714844,97.52059173583984,0.968,0.943
57,57,46.16110610961914,94.45462799072266,0.971,0.943
58,58,45.80568313598633,96.84715270996094,0.971,0.944
59,59,46.36212921142578,103.8411636352539,0.97,0.94
60,60,46.88516616821289,105.38448333740234,0.97,0.939
61,61,46.86441421508789,106.14542388916016,0.97,0.937
62,62,46.66223907470703,106.80143737792969,0.969,0.937
63,63,46.289249420166016,107.5557632446289,0.97,0.937
64,64,45.66774368286133,108.58942413330078,0.971,0.938
65,65,44.78908920288086,110.6360855102539,0.971,0.938
66,66,44.72357177734375,111.52059936523438,0.971,0.939
67,67,44.694095611572266,111.28340148925781,0.972,0.939
68,68,44.17472839355469,111.70806884765625,0.971,0.938
69,69,44.073848724365234,111.47562408447266,0.971,0.937
70,70,43.73686218261719,111.00082397460938,0.971,0.937
71,71,43.38568878173828,110.1965560913086,0.972,0.937
72,72,42.99930953979492,109.02108764648438,0.973,0.936
73,73,42.59682846069336,107.5878677368164,0.973,0.936
74,74,42.2292366027832,106.04584503173828,0.974,0.936
75,75,41.92424392700195,104.48102569580078,0.973,0.936
76,76,41.67033004760742,102.91671752929688,0.973,0.936
77,77,41.4497184753418,101.31388854980469,0.972,0.937
78,78,41.25323486328125,99.5986557006836,0.973,0.938
79,79,41.06817626953125,97.70469665527344,0.972,0.939
80,80,40.87153625488281,95.62566375732422,0.972,0.94
81,81,40.63435363769531,93.48383331298828,0.972,0.941
82,82,40.34395980834961,91.50859069824219,0.971,0.942
83,83,40.018070220947266,89.87171936035156,0.972,0.944
84,84,39.68938446044922,88.59557342529297,0.973,0.944
85,85,39.38115692138672,87.63235473632812,0.973,0.943
86,86,39.10341262817383,86.9225845336914,0.974,0.943
87,87,38.85923767089844,86.4080810546875,0.974,0.943
88,88,38.64793014526367,86.03450775146484,0.974,0.944
89,89,38.467071533203125,85.75435638427734,0.974,0.944
90,90,38.31357192993164,85.5286636352539,0.974,0.944
91,91,38.18437576293945,85.32559204101562,0.974,0.945
92,92,38.07640075683594,85.12161254882812,0.975,0.943
93,93,37.986812591552734,84.89957427978516,0.976,0.943
94,94,37.91249465942383,84.6458511352539,0.976,0.943
95,95,37.850887298583984,84.35032653808594,0.976,0.943
96,96,37.799652099609375,84.00708770751953,0.976,0.944
97,97,37.7572021484375,83.61517333984375,0.976,0.944
98,98,37.72222137451172,83.17767333984375,0.976,0.944
99,99,37.693782806396484,82.70004272460938,0.976,0.944
